============================================================
YELLOW STICKY TRAP - ACCURATE PEST COUNT ANALYSIS
============================================================

Total Insects Detected: 178

Size Classification:
  - Small insects:  163 (91.6%)
  - Medium insects: 15 (8.4%)
  - Large insects:  0 (0.0%)

Size Criteria:
  - Minimum area: 20 pixels²
  - Small: area < 200 pixels²
  - Medium: area 200-1000 pixels²
  - Large: area > 1000 pixels²

Individual Insect Details:
------------------------------------------------------------
ID: 1 | Size: Small | Area: 39 px² | Position: (71, 407)
ID: 55 | Size: Small | Area: 34 px² | Position: (147, 304)
ID: 56 | Size: Small | Area: 120 px² | Position: (212, 304)
ID: 57 | Size: Small | Area: 66 px² | Position: (87, 297)
ID: 58 | Size: Small | Area: 26 px² | Position: (59, 295)
ID: 59 | Size: Small | Area: 44 px² | Position: (198, 293)
ID: 60 | Size: Small | Area: 76 px² | Position: (158, 292)
ID: 61 | Size: Small | Area: 30 px² | Position: (227, 288)
ID: 62 | Size: Small | Area: 190 px² | Position: (177, 299)
ID: 63 | Size: Small | Area: 126 px² | Position: (28, 292)
ID: 64 | Size: Small | Area: 164 px² | Position: (244, 292)
ID: 65 | Size: Small | Area: 58 px² | Position: (16, 284)
ID: 66 | Size: Small | Area: 52 px² | Position: (149, 282)
ID: 67 | Size: Medium | Area: 254 px² | Position: (80, 280)
ID: 68 | Size: Small | Area: 36 px² | Position: (162, 276)
ID: 69 | Size: Small | Area: 133 px² | Position: (49, 273)
ID: 70 | Size: Small | Area: 22 px² | Position: (24, 270)
ID: 71 | Size: Small | Area: 112 px² | Position: (212, 275)
ID: 72 | Size: Small | Area: 86 px² | Position: (189, 269)
ID: 73 | Size: Small | Area: 22 px² | Position: (170, 266)
ID: 74 | Size: Small | Area: 28 px² | Position: (11, 264)
ID: 75 | Size: Small | Area: 112 px² | Position: (81, 264)
ID: 76 | Size: Small | Area: 120 px² | Position: (232, 268)
ID: 77 | Size: Small | Area: 156 px² | Position: (109, 268)
ID: 78 | Size: Small | Area: 69 px² | Position: (222, 253)
ID: 79 | Size: Small | Area: 108 px² | Position: (131, 258)
ID: 80 | Size: Small | Area: 45 px² | Position: (104, 246)
ID: 81 | Size: Small | Area: 72 px² | Position: (206, 244)
ID: 82 | Size: Medium | Area: 280 px² | Position: (64, 252)
ID: 83 | Size: Small | Area: 134 px² | Position: (255, 247)
ID: 84 | Size: Small | Area: 37 px² | Position: (224, 235)
ID: 85 | Size: Small | Area: 76 px² | Position: (244, 232)
ID: 86 | Size: Small | Area: 90 px² | Position: (58, 233)
ID: 87 | Size: Medium | Area: 243 px² | Position: (184, 244)
ID: 88 | Size: Small | Area: 23 px² | Position: (146, 222)
ID: 89 | Size: Small | Area: 86 px² | Position: (36, 228)
ID: 90 | Size: Small | Area: 67 px² | Position: (85, 220)
ID: 91 | Size: Small | Area: 90 px² | Position: (158, 218)
ID: 92 | Size: Medium | Area: 388 px² | Position: (161, 236)
ID: 93 | Size: Medium | Area: 218 px² | Position: (209, 219)
ID: 94 | Size: Small | Area: 162 px² | Position: (15, 217)
ID: 95 | Size: Small | Area: 50 px² | Position: (69, 210)
ID: 96 | Size: Small | Area: 94 px² | Position: (88, 203)
ID: 97 | Size: Medium | Area: 220 px² | Position: (49, 206)
ID: 98 | Size: Medium | Area: 281 px² | Position: (123, 211)
ID: 99 | Size: Small | Area: 105 px² | Position: (231, 197)
ID: 100 | Size: Small | Area: 99 px² | Position: (185, 199)
ID: 101 | Size: Small | Area: 102 px² | Position: (252, 196)
ID: 102 | Size: Small | Area: 48 px² | Position: (216, 191)
ID: 103 | Size: Small | Area: 48 px² | Position: (79, 192)
ID: 104 | Size: Small | Area: 192 px² | Position: (163, 195)
ID: 105 | Size: Small | Area: 46 px² | Position: (92, 187)
ID: 106 | Size: Small | Area: 127 px² | Position: (27, 187)
ID: 107 | Size: Small | Area: 42 px² | Position: (243, 181)
ID: 108 | Size: Small | Area: 36 px² | Position: (179, 179)
ID: 109 | Size: Small | Area: 170 px² | Position: (196, 187)
ID: 110 | Size: Small | Area: 22 px² | Position: (73, 174)
ID: 111 | Size: Small | Area: 58 px² | Position: (255, 176)
ID: 112 | Size: Small | Area: 98 px² | Position: (127, 174)
ID: 113 | Size: Small | Area: 52 px² | Position: (113, 169)
ID: 114 | Size: Small | Area: 36 px² | Position: (35, 168)
ID: 115 | Size: Small | Area: 62 px² | Position: (202, 166)
ID: 116 | Size: Small | Area: 116 px² | Position: (244, 164)
ID: 117 | Size: Small | Area: 20 px² | Position: (154, 159)
ID: 118 | Size: Small | Area: 59 px² | Position: (15, 161)
ID: 119 | Size: Small | Area: 82 px² | Position: (137, 150)
ID: 120 | Size: Small | Area: 92 px² | Position: (57, 153)
ID: 121 | Size: Small | Area: 144 px² | Position: (185, 151)
ID: 122 | Size: Small | Area: 42 px² | Position: (179, 136)
ID: 123 | Size: Small | Area: 102 px² | Position: (25, 141)
ID: 124 | Size: Small | Area: 192 px² | Position: (162, 140)
ID: 125 | Size: Medium | Area: 200 px² | Position: (204, 136)
ID: 126 | Size: Small | Area: 64 px² | Position: (121, 131)
ID: 127 | Size: Small | Area: 152 px² | Position: (46, 132)
ID: 128 | Size: Small | Area: 166 px² | Position: (145, 125)
ID: 129 | Size: Medium | Area: 663 px² | Position: (97, 145)
ID: 130 | Size: Medium | Area: 211 px² | Position: (235, 129)
ID: 131 | Size: Small | Area: 26 px² | Position: (29, 117)
ID: 132 | Size: Small | Area: 92 px² | Position: (14, 120)
ID: 133 | Size: Small | Area: 44 px² | Position: (104, 118)
ID: 134 | Size: Small | Area: 43 px² | Position: (193, 116)
ID: 135 | Size: Small | Area: 138 px² | Position: (83, 118)
ID: 136 | Size: Small | Area: 50 px² | Position: (66, 113)
ID: 137 | Size: Small | Area: 66 px² | Position: (205, 113)
ID: 138 | Size: Small | Area: 24 px² | Position: (253, 106)
ID: 139 | Size: Small | Area: 23 px² | Position: (175, 106)
ID: 140 | Size: Small | Area: 58 px² | Position: (44, 108)
ID: 141 | Size: Small | Area: 37 px² | Position: (33, 103)
ID: 142 | Size: Small | Area: 30 px² | Position: (247, 96)
ID: 143 | Size: Small | Area: 44 px² | Position: (208, 96)
ID: 144 | Size: Small | Area: 26 px² | Position: (149, 95)
ID: 145 | Size: Small | Area: 60 px² | Position: (56, 95)
ID: 146 | Size: Small | Area: 26 px² | Position: (9, 93)
ID: 147 | Size: Small | Area: 69 px² | Position: (19, 90)
ID: 148 | Size: Small | Area: 52 px² | Position: (231, 89)
ID: 149 | Size: Small | Area: 102 px² | Position: (178, 87)
ID: 150 | Size: Small | Area: 46 px² | Position: (162, 81)
ID: 151 | Size: Small | Area: 100 px² | Position: (121, 87)
ID: 152 | Size: Small | Area: 60 px² | Position: (220, 78)
ID: 153 | Size: Small | Area: 159 px² | Position: (98, 83)
ID: 154 | Size: Small | Area: 44 px² | Position: (238, 74)
ID: 155 | Size: Small | Area: 29 px² | Position: (49, 73)
ID: 156 | Size: Small | Area: 32 px² | Position: (174, 71)
ID: 157 | Size: Small | Area: 26 px² | Position: (36, 70)
ID: 158 | Size: Small | Area: 40 px² | Position: (220, 68)
ID: 159 | Size: Small | Area: 32 px² | Position: (165, 69)
ID: 160 | Size: Medium | Area: 224 px² | Position: (128, 73)
ID: 161 | Size: Medium | Area: 212 px² | Position: (81, 71)
ID: 162 | Size: Small | Area: 76 px² | Position: (44, 60)
ID: 163 | Size: Small | Area: 34 px² | Position: (208, 57)
ID: 164 | Size: Small | Area: 35 px² | Position: (30, 58)
ID: 165 | Size: Small | Area: 44 px² | Position: (171, 54)
ID: 166 | Size: Small | Area: 26 px² | Position: (194, 51)
ID: 167 | Size: Small | Area: 72 px² | Position: (138, 54)
ID: 168 | Size: Small | Area: 24 px² | Position: (183, 49)
ID: 169 | Size: Small | Area: 96 px² | Position: (235, 53)
ID: 170 | Size: Small | Area: 81 px² | Position: (153, 50)
ID: 171 | Size: Small | Area: 48 px² | Position: (66, 49)
ID: 172 | Size: Small | Area: 32 px² | Position: (167, 44)
ID: 173 | Size: Small | Area: 54 px² | Position: (89, 43)
ID: 174 | Size: Small | Area: 88 px² | Position: (78, 44)
ID: 175 | Size: Small | Area: 91 px² | Position: (34, 41)
ID: 176 | Size: Small | Area: 40 px² | Position: (16, 36)
ID: 177 | Size: Medium | Area: 200 px² | Position: (138, 31)
ID: 178 | Size: Small | Area: 39 px² | Position: (31, 27)
============================================================
